timestamp,value
2024-03-01T08:00:00,48.2
2024-03-01T08:05:00,48.9
2024-03-01T08:10:00,49.5
2024-03-01T08:15:00,50.1
2024-03-01T08:20:00,50.6
2024-03-01T08:25:00,51.0
2024-03-01T08:30:00,51.4
2024-03-01T08:35:00,52.2
2024-03-01T08:40:00,53.1
2024-03-01T08:45:00,54.0
2024-03-01T08:50:00,55.2
2024-03-01T08:55:00,56.5
2024-03-01T09:00:00,58.4
2024-03-01T09:05:00,60.1
2024-03-01T09:10:00,61.8
2024-03-01T09:15:00,63.2
2024-03-01T09:20:00,64.1
2024-03-01T09:25:00,65.8
2024-03-01T09:30:00,67.4
2024-03-01T09:35:00,69.3
2024-03-01T09:40:00,72.0
2024-03-01T09:45:00,74.8
2024-03-01T09:50:00,79.1
2024-03-01T09:55:00,83.6
